,Game,Initial,Final,Reward
11807,9828,10000.0,10113.53,-1.97
11808,11377,10000.0,10192.0,147.5
11809,9614,10000.0,10066.98,-58.02
11810,5595,10000.0,9986.09,-190.91
11811,8691,10000.0,9992.96,-142.04
11812,5657,10000.0,9936.47,-269.03
11813,3764,10000.0,10163.18,17.18
11814,12394,10000.0,9939.04,-271.46
11815,8335,10000.0,9943.93,-262.07
11816,535,10000.0,10010.04,-174.96
11817,10591,10000.0,9972.72,-189.28
11818,5414,10000.0,10077.68,-86.32
11819,6585,10000.0,9788.98,-458.02
11820,12219,10000.0,10149.44,-28.56
11821,6750,10000.0,10045.9,-70.1
11822,7806,10000.0,9990.02,-203.98
11823,13183,10000.0,9885.68,-379.82
11824,3762,10000.0,10256.44,69.44
11825,4802,10000.0,10381.0,351.5
11826,1840,10000.0,10082.3,-65.2
11827,5275,10000.0,9983.91,-190.09
11828,850,10000.0,9456.56,-1147.44
11829,8421,10000.0,10000.0,-264.5
11830,1131,10000.0,9906.1,-380.9
11831,3068,10000.0,9280.46,-1406.04
11832,3644,10000.0,11187.33,1125.83
11833,12895,10000.0,9999.55,-462.95
11834,461,10000.0,10232.25,209.25
11835,12114,10000.0,10016.84,-153.66
11836,11335,10000.0,10056.64,-77.36
11837,12942,10000.0,9979.35,-239.65
11838,4851,10000.0,10000.0,0.0
11839,4735,10000.0,10147.3,-5.7
11840,12480,10000.0,10112.48,6.48
11841,13757,10000.0,9998.01,-169.99
11842,6513,10000.0,9901.33,-298.17
11843,12272,10000.0,10003.28,-187.22
11844,8994,10000.0,9987.7,-171.8
11845,5609,10000.0,9993.39,-196.11
11846,88,10000.0,9920.29,-607.71
11847,6476,10000.0,9952.4,-266.1
11848,2501,10000.0,10028.35,-127.65
11849,10918,10000.0,10415.28,-262.22
11850,8969,10000.0,10622.93,9.43
11851,12863,10000.0,9930.75,-303.75
11852,1914,10000.0,9956.9,-256.6
11853,9583,10000.0,9862.38,-421.62
11854,1439,10000.0,8895.16,-1405.84
11855,9824,10000.0,10031.15,-94.35
11856,6537,10000.0,9812.48,-538.02
11857,12397,10000.0,9943.91,-259.59
11858,12657,10000.0,9920.16,-346.84
11859,11894,10000.0,10102.4,-36.6
11860,950,10000.0,9839.23,-678.77
11861,8395,10000.0,10567.76,461.76
11862,86,10000.0,9839.17,-542.83
11863,10301,10000.0,10272.43,131.93
11864,4690,10000.0,9957.49,-273.51
11865,8633,10000.0,10306.21,188.21
11866,8932,10000.0,9982.05,-171.95
11867,659,10000.0,9919.04,-282.46
11868,5607,10000.0,9797.81,-467.19
11869,1709,10000.0,9703.25,-480.75
11870,10554,10000.0,9988.59,-138.91
